date,captured_at,query,sort,source_segment,source_query,segment_position,source_page,search_position,bestseller_rank,category_rank,rank_delta,trend_score,niche_score,product_id,merchant_id,title,brand,category,url,seller_name,seller_score,price,original_price,discount_percent,price_delta_percent,currency,campaigns,stock_status,stock_signal,sales_signal,sales_signal_min,rating,rating_count,review_count,review_delta,question_count,basket_signal,favorite_signal,view_signal,shipping_cost,shipping_currency,handling_days_min,handling_days_max,transit_days_min,transit_days_max,delivery_summary,badge,image_url,properties,sample_review_count,sample_review_avg,detail_status,detail_selection,detail_attempted,detail_refreshed_at,detail_age_days,data_sources,field_availability,detail_ok,detail_error
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,1,1,1,1,1,2,125.6,71.9,1183064934,357212,Go Toys Kinetik Top Duyusal Oyuncak - SpinnBall Stret Oyuncak 1 Adet,Go Toys,Eğitici Oyuncak,https://www.trendyol.com/go-toys/kinetik-top-duyusal-oyuncak-spinnball-stret-oyuncak-1-adet-p-1183064934?boutiqueId=61&merchantId=357212,Shopist,9,199.5,285,30,-0.1,TRY,"[""Sepette %30 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.4,11,8,4,6,"6,3B kişinin sepetinde","12,9B kişi favoriledi","Son 24 saatte 3,4B kişi görüntüledi",4999,TRY,0,1,1,3,14 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1901/prod/QC_PREP/20260810/10/3e22a150-35e2-3887-b3ac-21a1aaf8afb2/1_org_zoom.jpg,"{""Paket İçeriği"":""1'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR""}",8,4.25,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,2,1,2,2,2,21,93.7,36.3,1164531939,517848,FBZhome 72 Parça Manyetik Yapı Blokları - Çocuklar için Renkli 3 Boyutlu Karo Oyun Seti Oyuncak Yap-Boz,FBZhome,Eğitici Oyuncak,https://www.trendyol.com/fbzhome/72-parca-manyetik-yapi-bloklari-cocuklar-icin-renkli-3-boyutlu-karo-oyun-seti-oyuncak-yap-boz-p-1164531939?boutiqueId=61&merchantId=517848,FBZHOME,92,1299.9,,,-2.5,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,,4.7,206,163,11,,,,,4999,TRY,0,,1,3,2 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,En Çok Satan 2. Ürün,https://cdn.dsmcdn.com/ty1930/prod/QC_ENRICHMENT/20260717/11/b1cae3a6-3aff-35af-9567-d612ab4b08ee/1_org_zoom.jpg,"{""Paket İçeriği"":""72'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Diğer Özellikler"":""manyetik mıknatıslı bloklar"",""Menşei"":""TR"",""Ürün Uyarıları (Oyuncak)"":""3 Yaş Üstü"",""Batarya Türü"":""Diğer"",""Batarya Boyutu"":""Uygulanabilir Değil"",""Özellik"":""Diğer""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""unavailable"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,3,1,3,3,,-2,143.4,49.1,959516754,357212,Go Toys Go Magnetic Series 72 Parça Manyetik Yapı Blokları Original - Mıknatıslı Manyetik Bloklar,Go Toys,Eğitici Oyuncak,https://www.trendyol.com/go-toys/go-magnetic-series-72-parca-manyetik-yapi-bloklari-original-miknatisli-manyetik-bloklar-p-959516754?boutiqueId=61&merchantId=357212,Shopist,9,1536.5,2195,30,-17.6,TRY,"[""Sepette %30 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.2,11196,4682,48,602,"24,6B kişinin sepetinde","440,3B kişi favoriledi","Son 24 saatte 7,3B kişi görüntüledi",4999,TRY,0,1,1,3,14 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,,https://cdn.dsmcdn.com/ty1000388/product/media/images/prod/PIM/20260417/06/199e148e-a776-48e6-963e-bef3603d28f4/1_org_zoom.jpg,"{""Paket İçeriği"":""72'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR"",""Özellik"":""Mıknatıslı""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,4,1,4,4,4,8,141.8,58.2,987253589,1164978,"Genel Markalar 3'lü Bebek Vakumlu Döner Topaç: Duyu Gelişimi Destekli, Serbest Kombinasyonlu ABS Hayvan Oyuncağı",Genel Markalar,Eğitici Oyuncak,https://www.trendyol.com/genel-markalar/3-lu-bebek-vakumlu-doner-topac-duyu-gelisimi-destekli-serbest-kombinasyonlu-abs-hayvan-oyuncagi-p-987253589?boutiqueId=61&merchantId=1164978,BBSKY,96,599,998.34,40,0,TRY,"[""Sepette %40 İndirim"",""125 TL Kupon"",""Kargo Bedava"",""Sepette %20 İndirim""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.5,468,296,8,26,"2,3B kişinin sepetinde","35,8B kişi favoriledi","Son 24 saatte 1,9B kişi görüntüledi",4999,TRY,0,1,1,3,14 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 4. Ürün,https://cdn.dsmcdn.com/ty1931/prod/QC_ENRICHMENT/20260802/22/a159a028-5cc9-37ec-9d3a-a1c6edfe06ac/1_org_zoom.jpg,"{""Paket İçeriği"":""3'lü"",""Yaş"":""1+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Diğer Özellikler"":""Çocukların el-göz becerilerini destekler"",""Menşei"":""CN"",""Ürün Uyarıları (Oyuncak)"":""1,10 ay ve üzeri bebekler için uygundur.2,Yalnızca yetişkin gözetiminde kullanılmalıdır.3,Ambalaj malzemelerini çocuklardan uzak tutunuz, boğulma tehlikesi vardır.4,Oyuncağı düzenli olarak kontrol edin, hasarlı parçaları kullanmayınız."",""Özellik"":""Vakumlu""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,5,1,5,5,5,-1,107.9,49.6,955779223,1159908,ankahometoys Puzzle City 3D Yapı Blokları - 128 Parça Eğitici Şehir Kurma ve Tasarım Seti,ankahometoys,Eğitici Oyuncak,https://www.trendyol.com/ankahometoys/puzzle-city-3d-yapi-bloklari-128-parca-egitici-sehir-kurma-ve-tasarim-seti-p-955779223?boutiqueId=61&merchantId=1159908,PLASTMARKET,94,99.9,,,0,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.4,6091,3107,9,278,"7,1B kişinin sepetinde","143,9B kişi favoriledi","Son 24 saatte 2,9B kişi görüntüledi",4999,TRY,0,,1,3,1 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,En Çok Satan 5. Ürün,https://cdn.dsmcdn.com/ty1859/prod/QC_ENRICHMENT/20260422/10/5c3c7aa8-5b58-3be6-8d39-27b0e52b1234/1_org_zoom.jpg,"{""Paket İçeriği"":""120'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR"",""Ürün Uyarıları (Oyuncak)"":""3 yaş ve üzeri çocuklar için uygundur"",""Özellik"":""Enerji Tasarrufu""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,6,1,6,6,,0,128.2,47,876839630,1047741,Magly Manyetik Yapı Blokları – Çocuklar İçin Renkli 3 Boyutlu 72 Parça Manyetik Karo Oyun Seti,Magly,Eğitici Oyuncak,https://www.trendyol.com/magly/manyetik-yapi-bloklari-cocuklar-icin-renkli-3-boyutlu-72-parca-manyetik-karo-oyun-seti-p-876839630?boutiqueId=61&merchantId=1047741,Magly,,2196,2745,20,0,TRY,"[""Sepette %20 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,4.7,10830,5954,27,830,"18,9B kişinin sepetinde","436,8B kişi favoriledi","Son 24 saatte 6,5B kişi görüntüledi",4999,TRY,0,1,1,3,5 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,,https://cdn.dsmcdn.com/ty1602/prod/QC/20241118/16/18962b5a-dc5e-3472-b1bb-56962270878a/1_org_zoom.jpg,"{""Paket İçeriği"":""72'li"",""Yaş"":""3+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Diğer Özellikler"":""manyetik bloklar"",""Menşei"":""TR"",""Ürün Uyarıları (Oyuncak)"":""3 yaş üstü"",""Batarya Türü"":""Diğer"",""Batarya Boyutu"":""Uygulanabilir Değil"",""Özellik"":""Diğer""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,7,1,7,7,,3,97.3,55.2,887625564,496056,Monalisa Çocuk Renkli Ponpon Toka 10’Lu,Monalisa,Toka,https://www.trendyol.com/monalisa/cocuk-renkli-ponpon-toka-10-lu-p-887625564?boutiqueId=61&merchantId=496056,Monalisa Toka,,20.99,,,0,TRY,"[""Kargo Bedava"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,3.5,814,457,10,46,"1,5B kişinin sepetinde","29,4B kişi favoriledi",Son 24 saatte 754 kişi görüntüledi,4999,TRY,0,,1,3,5 saat 57 dakika içinde sipariş verirsen en geç bugün kargoda!,,https://cdn.dsmcdn.com/ty1618/prod/QC/20241228/00/c41205e3-a9f5-3702-9b76-f9d169b1362b/1_org_zoom.jpg,"{""Desen"":""Renkli"",""Materyal Bileşeni"":""kaplama"",""Materyal"":""Polyester"",""Renk"":""Çok Renkli"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""unavailable"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,8,1,8,8,1,62,85,65,1165761655,252109,mucciden Pufix Dökülmeyen Baloncuk Oyuncağı | Sızdırmaz Baloncuk Şişesi | Çocuk Baloncuk Oyuncağı | Meyve Figürlü,mucciden,Bahçe Oyuncakları,https://www.trendyol.com/mucciden/pufix-dokulmeyen-baloncuk-oyuncagi-sizdirmaz-baloncuk-sisesi-cocuk-baloncuk-oyuncagi-meyve-figurlu-p-1165761655?boutiqueId=61&merchantId=252109,Miniko Kids,93,145.85,,,0,TRY,"[""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,3.9,30,23,5,20,"3,8B kişinin sepetinde","12,9B kişi favoriledi","Son 24 saatte 2,1B kişi görüntüledi",4999,TRY,0,1,1,3,14 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,En Çok Satan 1. Ürün,https://cdn.dsmcdn.com/ty1939/prod/QC_PREP/20260707/20/65b49733-1756-3901-ac23-d5a27ddcb6de/1_org_zoom.jpg,"{""Yaş"":""3+ Yaş"",""Menşei"":""TR""}",20,4.55,refreshed,"[""daily_top"",""hot_change""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,9,1,9,9,,12,85.7,61.8,1142311061,1048417,ADİL OYUNCAK 72 Parça Manyetik Yapı Blokları | Montessori Eğitici Oyuncak | 3D Mıknatıslı Blok Seti,ADİL OYUNCAK,Eğitici Oyuncak,https://www.trendyol.com/adil-oyuncak/72-parca-manyetik-yapi-bloklari-montessori-egitici-oyuncak-3d-miknatisli-blok-seti-p-1142311061?boutiqueId=61&merchantId=1048417,KÜRE EKSPRES,82,1269.1,,,-2.3,TRY,"[""Sepette %2 İndirim"",""Kargo Bedava"",""Peşin Fiyatına 3 Taksit"",""Trendyol Plus'a Özel""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 500+ ürün satıldı!,500,3.9,67,50,15,27,"3,4B kişinin sepetinde","12,6B kişi favoriledi","Son 24 saatte 5,9B kişi görüntüledi",4999,TRY,0,1,1,3,14 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,,https://cdn.dsmcdn.com/ty1891/prod/QC_ENRICHMENT/20260725/18/ebc78074-63f3-3935-8d2f-a3e9efd28808/1_org_zoom.jpg,"{""Paket İçeriği"":""72'li"",""Yaş"":""2+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Dil"":""Evrensel Dil"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""unavailable"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
2026-08-17,2026-08-17T09:00:04+03:00,çocuk,BEST_SELLER,genel-cocuk,çocuk,10,1,10,10,,-2,117.8,39.7,1107131330,357212,Go Toys Go Track Mavi Renk Esnek Yarış-Aksiyon Pisti 4.5 Mt - Flex track,Go Toys,Diğer Oyuncaklar,https://www.trendyol.com/go-toys/go-track-mavi-renk-esnek-yaris-aksiyon-pisti-4-5-mt-flex-track-p-1107131330?boutiqueId=61&merchantId=357212,Shopist,9,237.3,339,30,-17.6,TRY,"[""Sepette %30 İndirim"",""Kargo Bedava""]",InStock,100 adetten fazla stok sunulmuştur,Son 3 günde 250+ ürün satıldı!,250,4.3,1771,707,11,147,"4,5B kişinin sepetinde","151,8B kişi favoriledi","Son 24 saatte 1,9B kişi görüntüledi",4999,TRY,0,1,1,3,14 saat 57 dakika içinde sipariş verirsen en geç yarın kargoda!,,https://cdn.dsmcdn.com/ty1829/prod/QC_PREP/20260219/22/7a0577d0-2537-3975-86db-ae4fc92191dc/1_org_zoom.jpg,"{""Paket İçeriği"":""1+"",""Yaş"":""1+ Yaş"",""Piller Kutuya Dahil Mi?"":""Hayır"",""Pil ile mi çalışır?"":""Hayır"",""Menşei"":""TR""}",20,5,refreshed,"[""daily_top""]",true,2026-08-17T09:00:04+03:00,0,"[""search_result_dom"",""product_detail_jsonld"",""product_detail_dom""]","{""title"":""observed"",""brand"":""observed"",""seller_name"":""observed"",""seller_score"":""observed"",""price"":""observed"",""original_price"":""observed"",""campaigns"":""observed"",""stock_status"":""observed"",""stock_signal"":""observed"",""rating"":""observed"",""rating_count"":""observed"",""review_count"":""observed"",""question_count"":""observed"",""delivery_summary"":""observed"",""shipping_cost"":""observed"",""properties"":""observed""}",true,
